year,r
1961,-0.090909
1962,-0.240741
1963,0.084146
1964,0.062992
1965,-0.150265
1966,-0.174346
1967,0.324284
1968,0.125285
1969,0.155870
1970,-0.257753
1971,0.016309
1972,0.154539
1973,-0.196877
1974,-0.017544
1975,0.284507
1976,-0.072515
1977,0.100466
1978,0.071600
1979,-0.116799
1980,0.008362
1981,0.010221
1982,0.128866
1983,0.369356
1984,0.079906
1985,0.640782
1986,0.113334
1987,-0.363864
1988,0.250566
1989,0.299363
1990,-0.091273
1991,-0.021928
1992,-0.091721
1993,0.390502
1994,-0.061617
1995,0.044389
1996,0.184376
1997,0.371264
1998,0.121966
1999,0.257870
2000,-0.042394
2001,-0.209617
2002,-0.364666
2003,0.235764
2004,0.075465
2005,0.246777
2006,0.205800
2007,0.182200
2008,-0.463014
2009,0.241208
2010,0.177962
2011,-0.184367
2012,0.250215
2013,0.199847
2014,0.031282
2015,0.079516
2016,0.018034
2017,0.166054
2018,-0.189615
2019,0.177866
2020,0.001535
2021,0.123210
2022,-0.170862
2023,0.126836
2024,0.145916
2025,0.159562
2026,0.011471
